Linha Nova - 2020-10-01 - 30.0
Campo Azul - 2020-10-01 - 22.0
Carvalhos - 2020-10-01 - 20.0
Pedra Branca - 2020-10-01 - 18.0
Boa Ventura - 2020-10-01 - 16.666666
Coronel Macedo - 2020-10-01 - 16.0
Água Boa - 2020-10-01 - 15.0
Matos Costa - 2020-10-01 - 13.0
Itauçu - 2020-10-01 - 11.6470585
Gavião - 2020-10-01 - 10.0
